,id,sentence,Dominant emotion,emoty
0,1249,British Airways baggage charges cause confusion,anger,surprise
1,1250,Indonesian with bird flu dies,disgust,sadness
2,1251,St. Louis poised for entertainment upswing,fear,joy
3,1252,New York City may ban iPods while crossing street,anger,surprise
4,1253,Boy allegedly told to kill by mom gives up,disgust,sadness
5,1254,Gray wolves off endangered list,fear,joy
6,1255,Vista's hyped security will be tested,fear,joy
7,1256,UK police slammed over terror raid,surprise,fear
8,1257,Mogadishu residents flee blasts,surprise,fear
9,1258,Bomb kills 18 on military bus in Iran,disgust,sadness
10,1259,"'WarioWare,' Wii make perfect fit",fear,joy
11,1260,U.S. at odds with cleric's aide,surprise,fear
12,1261,Desperate Iraqi mother relies on militia for help,disgust,sadness
13,1262,Full details of the EU report on Iran,anger,surprise
14,1263,Singer on Cowell: Glad he was mean,fear,joy
15,1264,Jones faces Europe meetings snub,disgust,sadness
16,1265,Beckham goal helps Real snatch win,fear,joy
17,1266,Guinea: Plan offices close as country declares emergency,surprise,fear
18,1267,Japan's economy grows,fear,joy
19,1268,United Nations peacekeepers raid Haitian slum,fear,joy
20,1269,Work starts on Arctic seed vault,fear,joy
21,1270,Social networking goes mobile,fear,joy
22,1271,"Beauticians cut, curl, offer stroke-prevention info",fear,joy
23,1272,"Siesta cuts risk of heart disease death, study finds",anger,surprise
24,1273,Thomas Cook to merge with MyTravel,fear,joy
25,1274,Nap your way to a successful career,fear,joy
26,1275,Village buried by 100 inches of snow,disgust,sadness
27,1276,Oprah announces new book club pick,fear,joy
28,1277,The science of love ... and lust,fear,joy
29,1278,"Northeaster cancels flights, shuts schools",disgust,sadness
30,1279,Napping may be good for your heart,fear,joy
31,1280,Ryan O'Neal injured son's girlfriend,disgust,sadness
32,1281,Chrysler's Valentine's Day massacre,disgust,sadness
33,1282,Madrid bombings trial begins,surprise,fear
34,1283,Fight starts over HPV vaccine,joy,disgust
35,1284,Autos drive European gains,fear,joy
36,1285,James Brown's partner can get her things,fear,joy
37,1286,Auto show canceled,disgust,sadness
38,1287,UK luxury maker Burberry: 'Made in China'?,anger,surprise
39,1288,On-the-job naps might cut heart risk,fear,joy
40,1289,"No. 1 Florida survives Rupp Arena, streak hits 16",fear,joy
41,1290,J.K. Rowling marks spot of 'Potter's' end,disgust,sadness
42,1291,Gronholm takes a commanding lead,fear,joy
43,1292,Howard slams Obama on Iraq policy,sadness,anger
44,1293,Manila hints at ransom approval,disgust,sadness
45,1294,Champion Murray too good for Kim,fear,joy
46,1295,"G7: Yen skates by, yuan singled out",disgust,sadness
47,1296,Gunman 'was Srebrenica survivor',anger,surprise
48,1297,Cutting through the clutter to get things done,fear,joy
49,1298,Mother: Lohan is doing 'great' in rehab,fear,joy
50,1299,Who's going to win at the Grammys?,fear,joy
51,1300,"Libby defense upsets judge, rests",anger,surprise
52,1301,Breakup rings find new homes,disgust,sadness
53,1302,Gronholm ahead as Solberg crashes,fear,joy
54,1303,'Norbit' a waste of Murphy,disgust,sadness
55,1304,Rocky start for Bangkok airport,anger,surprise
56,1305,12 dead in Lebanese minibus bombings,disgust,sadness
57,1306,Sex torture claims hit Russia army,joy,disgust
58,1307,Mega-marsupials once roamed Australia,anger,surprise
59,1308,Rupert Murdoch's secret TiVo,anger,surprise
60,1309,"UPDATE 1-Plane crashes at Moscow airport, no passengers",disgust,sadness
61,1310,HPV vaccination stirs heated debate in America,anger,surprise
62,1311,Court TV: Accused killer tells jury a love story,anger,surprise
