,id,text,pred_deg,emotions,Degree
0,1,Mortar assault leaves at least 18 dead,0.5,sadness,50
1,2,Goal delight for Sheva,0.5,joy,50
2,3,Nigeria hostage feared dead is freed,0.5,joy,50
3,4,Bombers kill shoppers,0.5,fear,50
4,5,"Vegetables, not fruit, slow brain decline",0.5,surprise,50
5,6,PM: Havana deal a good experiment,0.25,joy,25
6,7,Kate is marrying Doherty,0.5,joy,50
7,8,NASA revisiting life on Mars question,0.25,surprise,25
8,9,"Happy birthday, iPod",0.5,joy,50
9,10,Alonso would be happy to retire with three titles,0.5,joy,50
10,11,Madonna's New Tot 'Happy at Home' in London,0.5,joy,50
11,12,Nicole Kidman asks dad to help stop husband's drinking,0.25,sadness,25
12,13,United Finds Good Connection in Win,0.5,joy,50
13,14,'Runway': Making Good Without Making Nice,0.25,joy,25
14,15,"We were 'arrogant and stupid' over Iraq, says US diplomat",0.5,sadness,50
15,16,Bad reasons to be good,0.25,sadness,25
16,17,Madonna's new baby's daddy didn't realize adoption was `for good',0.5,surprise,50
17,18,Women in their 60s 'are perfectly good mothers',0.25,sadness,25
18,19,We're a pretty kind 'bully',0.25,joy,25
19,20,Moderate drinking reduces men's heart attack risk,0.5,joy,50
20,21,Tom Cruise and Katie Holmes set wedding date,0.5,joy,50
21,22,Kidnapped AP photographer freed in Gaza,0.5,fear,50
22,23,"Bush Insists Troops Stay in Iraq, Predicts Midterm Victory",0.5,disgust,50
23,24,Hurricane Paul Weakens To Tropical Storm,0.25,surprise,25
24,25,UK announces immigration restrictions,0.5,anger,50
25,26,Three found alive from missing Russian ship -report,0.5,joy,50
26,27,Poison Pill to Swallow: Hawks Hurting After Loss to Vikes,0.25,sadness,25
27,28,Injured Marathon Winner Leaves Hospital,0.5,joy,50
28,29,Hacker unlocks Apple music download protection,0.5,surprise,50
29,30,Spanish journalist seized in Gaza,0.5,fear,50
30,31,Sudan urges UN to replace its special envoy,0.25,surprise,25
31,32,Resolution approved for international games,0.5,joy,50
32,33,Pair of Satellites Will Document Sun in 3-D,0.5,joy,50
33,34,Martian Life Could Have Evaded Detection by Viking Landers,0.25,surprise,25
34,35,The sweet tune of an anniversary,0.5,joy,50
